0.82569,1,2
0.82569,1,2
0.99883,589823,21233664
0.99883,48,88
0.99883,48,88
0.98937,589823,21233664
0.98937,48,86
0.98937,48,86
0.03194,589823,21233664
0.03194,47,80
0.03194,47,80
0.40000,589823,21233664
0.40000,47,80
0.40000,47,80
0.99197,589823,21233664
0.99197,47,82
0.99197,47,82
0.00843,139967,5038848
0.00843,1,4
0.00843,1,4
0.00080,139967,5038848
0.00080,49,105
0.00080,29,66
0.00342,93311,3359232
0.00342,46,90
0.00342,26,51
0.91509,93311,3359232
0.91509,46,88
0.91509,26,49
0.99973,186623,6718464
0.99973,48,98
0.99973,28,59
0.98920,186623,6718464
0.98920,48,94
0.98920,28,55
0.78055,139967,5038848
0.78055,117,218
0.78055,49,89
0.88525,1179647,42467328
0.88525,50,88
0.88525,50,88
0.64902,1769471,63700992
0.64902,51,98
0.64902,51,98
0.30210,1769471,63700992
0.30210,51,89
0.30210,51,89
0.98000,1769471,63700992
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.00000,0,36
0.88692,11,21
0.88692,11,21
0.13401,3495,5841
0.13401,444,726
0.38,0,0
0.38,0,0
