0.25,0,0
0.25,0,0
0.25,0,0
0.52,0,0
0.52,0,0
0.52,0,0
0.4,0,0
0.4,0,0
0.4,0,0
0.85,0,0
0.85,0,0
0.85,0,0
0.88,0,0
0.88,0,0
0.88,0,0
0.12,0,0
0.12,0,0
0.12,0,0
0.72,0,0
0.72,0,0
0.72,0,0
0.75,0,0
0.75,0,0
0.75,0,0
0.25,0,0
0.25,0,0
0.25,0,0
0.68,0,0
0.68,0,0
0.68,0,0
0.06,0,0
0.06,0,0
0.06,0,0
0.91,0,0
0.91,0,0
0.91,0,0
0.45,0,0
0.45,0,0
0.45,0,0
0.21,0,0
0.21,0,0
0.21,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.33,0,0
0.33,0,0
0.33,0,0
0.69,0,0
0.69,0,0
0.69,0,0
0.42,0,0
0.42,0,0
0.42,0,0
0.18,0,0
0.18,0,0
0.18,0,0
0.57,0,0
0.57,0,0
0.57,0,0
0.86,0,0
0.86,0,0
0.86,0,0
0.78,0,0
0.78,0,0
0.78,0,0
0.73,0,0
0.73,0,0
0.73,0,0
0.27,0,0
0.27,0,0
0.27,0,0
0.21500,1535,15360
0.21500,14,24
0.21500,12,20
0.40950,1535,15360
0.40950,14,24
0.40950,12,20
0.37550,1535,15360
0.37550,14,24
0.37550,12,20
0.73301,2303,23040
0.73301,185,338
0.73301,75,134
0.39868,2303,23040
0.39868,185,338
0.39868,75,134
0.70000,2303,23040
0.70000,387,742
0.70000,151,296
0.78261,1151,11520
0.78261,1,4
0.78261,1,4
0.88382,767,7680
0.88382,129,256
0.88382,39,74
0.18585,1151,11520
0.18585,323,616
0.18585,91,186
0.71349,2303,23040
0.71349,599,1166
0.71349,151,296
0.23498,2303,23040
0.23498,289,548
0.23498,75,134
0.46043,2303,23040
0.46043,599,1166
0.46043,151,296
0.62772,1151,11520
0.62772,145,266
0.62772,43,86
0.85000,767,7680
0.85000,3,4
0.85000,3,4
0.25044,767,7680
0.25044,199,398
0.25044,71,144
0.72206,383,3840
0.72206,97,208
0.72206,35,72
0.82726,575,5760
0.82726,203,384
0.82726,87,170
0.63130,575,5760
0.63130,157,305
0.63130,77,145
0.45592,575,5760
0.45592,263,424
0.45592,73,130
0.59818,575,5760
0.59818,155,311
0.59818,99,195
0.60826,287,2880
0.60826,41,68
0.60826,20,34
0.62784,575,5760
0.62784,203,398
0.62784,57,120
0.59683,383,3840
0.59683,3,6
0.59683,3,6
0.35060,383,3840
0.35060,215,440
0.35060,87,176
0.00005,0,10
0.00029,0,10
0.00020,0,10
0.00001,0,10
0.00001,0,10
0.00032,0,10
0.00006,0,10
0.00005,0,10
0.00000,0,10
0.00001,0,10
0.00005,0,10
0.00004,0,10
0.00001,0,10
0.00017,0,10
0.00010,0,10
0.00000,0,10
0.00002,0,10
0.00050,0,10
0.00002,0,10
0.00002,0,10
